positionX, positionY, positionZ, phaseX, phaseY, phaseZ, myocyte_index, flag 
41.957655,40.000000,60.000000,11243.090901,10000.400000,15000.600000,0,0
28.827713,40.000000,60.000000,9043.543104,10000.400000,15000.600000,0,0
59.091883,40.000000,60.000000,12083.361812,10000.400000,15000.600000,0,0
46.527626,40.000000,60.000000,8750.619722,10000.400000,15000.600000,0,0
32.787511,40.000000,60.000000,9295.917999,10000.400000,15000.600000,0,0
46.081118,40.000000,60.000000,9565.778231,10000.400000,15000.600000,0,0
50.040916,40.000000,60.000000,10852.144059,10000.400000,15000.600000,0,0
22.485996,40.000000,60.000000,7746.894649,10000.400000,15000.600000,0,0
47.495332,40.000000,60.000000,13677.429277,10000.400000,15000.600000,0,0
55.370440,40.000000,60.000000,8738.116445,10000.400000,15000.600000,0,0
36.747309,40.000000,60.000000,7128.267649,10000.400000,15000.600000,0,0
36.345289,40.000000,60.000000,9476.607468,10000.400000,15000.600000,0,0
33.070354,40.000000,60.000000,8936.631387,10000.400000,15000.600000,0,0
35.615938,40.000000,60.000000,8855.690288,10000.400000,15000.600000,0,0
37.312994,40.000000,60.000000,9317.719515,10000.400000,15000.600000,0,0
57.111984,40.000000,60.000000,12459.039221,10000.400000,15000.600000,0,0
39.040550,40.000000,60.000000,13149.748963,10000.400000,15000.600000,-1,0
23.334524,40.000000,60.000000,11127.391861,10000.400000,15000.600000,0,0
49.192388,40.000000,60.000000,10063.142999,10000.400000,15000.600000,0,0
35.735115,40.000000,60.000000,12274.776404,10000.400000,15000.600000,0,0
38.161522,40.000000,60.000000,10897.008570,10000.400000,15000.600000,0,0
21.801133,40.000000,60.000000,8056.307952,10000.400000,15000.600000,0,0
43.371869,40.000000,60.000000,12046.287758,10000.400000,15000.600000,0,0
33.353196,40.000000,60.000000,7399.158874,10000.400000,15000.600000,0,0
53.837049,40.000000,60.000000,12657.520574,10000.400000,15000.600000,0,0
44.786082,40.000000,60.000000,12045.490772,10000.400000,15000.600000,0,0
28.827713,40.000000,60.000000,7458.531188,10000.400000,15000.600000,0,0
73.967393,40.000000,60.000000,14141.152841,10000.400000,15000.600000,-1,0
52.586501,40.000000,60.000000,12565.231213,10000.400000,15000.600000,0,0
50.204581,40.000000,60.000000,8937.020780,10000.400000,15000.600000,0,0
52.303658,40.000000,60.000000,9260.822875,10000.400000,15000.600000,0,0
54.402735,40.000000,60.000000,12323.485850,10000.400000,15000.600000,0,0
22.203153,40.000000,60.000000,7597.810171,10000.400000,15000.600000,0,0
20.342431,40.000000,60.000000,9604.940633,10000.400000,15000.600000,0,0
18.564141,40.000000,60.000000,6856.647729,10000.400000,15000.600000,-1,0
31.938983,40.000000,60.000000,8879.536757,10000.400000,15000.600000,0,0
20.223254,40.000000,60.000000,7618.479341,10000.400000,15000.600000,0,0
20.625274,40.000000,60.000000,9659.829090,10000.400000,15000.600000,0,0
41.272792,40.000000,60.000000,12274.772150,10000.400000,15000.600000,0,0
49.311566,40.000000,60.000000,12572.385596,10000.400000,15000.600000,0,0
33.353196,40.000000,60.000000,9402.385653,10000.400000,15000.600000,0,0
40.305087,40.000000,60.000000,8767.911046,10000.400000,15000.600000,0,0
46.765981,40.000000,60.000000,11821.978329,10000.400000,15000.600000,0,0
25.716443,40.000000,60.000000,8429.253987,10000.400000,15000.600000,0,0
59.940411,40.000000,60.000000,12237.472847,10000.400000,15000.600000,0,0
25.597265,40.000000,60.000000,7109.164194,10000.400000,15000.600000,0,0
58.526198,40.000000,60.000000,10073.767575,10000.400000,15000.600000,0,0
47.172580,40.000000,60.000000,13973.577202,10000.400000,15000.600000,-1,0
13.386013,40.000000,60.000000,5287.686170,10000.400000,15000.600000,-1,0
57.677670,40.000000,60.000000,11898.206359,10000.400000,15000.600000,0,0
24.531725,40.000000,60.000000,6082.028257,10000.400000,15000.600000,-1,0
29.229733,40.000000,60.000000,11369.085257,10000.400000,15000.600000,0,0
35.333095,40.000000,60.000000,9751.102433,10000.400000,15000.600000,0,0
20.223254,40.000000,60.000000,6446.680994,10000.400000,15000.600000,0,0
35.050253,40.000000,60.000000,12228.207371,10000.400000,15000.600000,0,0
30.241926,40.000000,60.000000,9285.534843,10000.400000,15000.600000,0,0
28.142850,40.000000,60.000000,6421.701874,10000.400000,15000.600000,0,0
40.424264,40.000000,60.000000,9140.105606,10000.400000,15000.600000,0,0
51.455130,40.000000,60.000000,9203.849868,10000.400000,15000.600000,0,0
40.141421,40.000000,60.000000,7364.219775,10000.400000,15000.600000,0,0
44.101219,40.000000,60.000000,10706.313185,10000.400000,15000.600000,0,0
56.829141,40.000000,60.000000,12630.871386,10000.400000,15000.600000,0,0
46.081118,40.000000,60.000000,10401.793407,10000.400000,15000.600000,0,0
25.716443,40.000000,60.000000,7026.616132,10000.400000,15000.600000,0,0
28.425693,40.000000,60.000000,7349.426677,10000.400000,15000.600000,0,0
24.415920,40.000000,60.000000,11612.490261,10000.400000,15000.600000,-1,0
57.796847,40.000000,60.000000,11094.350265,10000.400000,15000.600000,0,0
50.040916,40.000000,60.000000,10378.091188,10000.400000,15000.600000,0,0
23.617366,40.000000,60.000000,8203.624336,10000.400000,15000.600000,0,0
42.969848,40.000000,60.000000,9670.831671,10000.400000,15000.600000,0,0
54.283557,40.000000,60.000000,9741.596090,10000.400000,15000.600000,0,0
51.737973,40.000000,60.000000,12295.153838,10000.400000,15000.600000,0,0
52.303658,40.000000,60.000000,12183.411168,10000.400000,15000.600000,0,0
28.544870,40.000000,60.000000,9797.335903,10000.400000,15000.600000,0,0
27.696342,40.000000,60.000000,8360.329402,10000.400000,15000.600000,0,0
21.071782,40.000000,60.000000,7296.142847,10000.400000,15000.600000,0,0
20.788939,40.000000,60.000000,9054.554971,10000.400000,15000.600000,0,0
21.190960,40.000000,60.000000,10714.819139,10000.400000,15000.600000,0,0
53.152186,40.000000,60.000000,10570.701418,10000.400000,15000.600000,0,0
43.818377,40.000000,60.000000,11169.982900,10000.400000,15000.600000,0,0
