positionX, positionY, positionZ, phaseX, phaseY, phaseZ, myocyte_index, flag 
77.580610,37.662782,31.771332,13450.028624,12766.155529,13605.072166,-1,0
55.689798,39.395442,49.554979,9913.718463,12538.840945,15506.253380,-1,0
55.211051,76.229088,53.820696,11597.470194,15378.786074,16208.794233,-1,0
68.709801,66.205699,56.019275,10776.291805,11813.272962,15115.200554,-1,0
46.253166,25.141431,56.010619,10800.152113,5688.397387,13547.011111,-1,0
57.563423,65.999698,17.347732,10367.615810,14764.208685,12121.939617,-1,0
50.182338,45.656854,41.332381,10851.642236,9968.018975,10861.103191,0,0
47.150638,69.593455,70.291703,5828.096983,14290.938872,18930.385746,-1,0
42.561527,49.756879,39.323650,14302.825573,8173.226108,14620.293974,-1,0
46.575857,50.963949,87.397819,9518.847138,6429.216200,18563.336582,-1,0
23.436476,58.414380,94.333464,3449.018753,11909.843028,18340.942427,-1,0
27.125812,16.276050,45.742226,10086.583214,3038.827234,14149.627085,-1,0
32.928932,45.656854,75.839192,8936.302097,10067.763457,17574.027075,0,0
60.042934,73.287019,94.211743,9361.558829,12617.807924,19195.057034,-1,0
40.749282,50.775906,76.707960,9799.024701,9042.451773,17000.106142,-1,0
25.143176,53.047409,67.056010,10947.715873,11080.349253,16257.974575,-1,0
71.438177,5.446612,44.871193,13837.533862,5451.662794,15647.222600,-1,0
14.239224,76.168281,96.504473,10223.792767,14523.957686,19005.942139,-1,0
49.333810,27.272078,95.638182,10062.649661,10351.301963,20686.897802,0,0
71.380088,71.131004,55.019762,11907.073228,13609.391401,12771.497829,-1,0
38.302944,53.576450,73.859293,10896.625541,10811.141988,17386.219514,0,0
19.246949,11.622741,26.158576,6552.350784,3352.666319,14476.359908,-1,0
31.210394,75.269304,55.244795,10947.193423,15504.141755,14110.526373,-1,0
42.525884,68.197976,60.884070,9346.055115,14842.777547,14551.402498,-1,0
71.107921,67.671225,85.668787,11293.302463,15845.186300,18538.645592,-1,0
7.385867,77.062703,67.971291,9216.592718,14324.261904,18268.466440,-1,0
21.553716,61.771637,71.003262,7024.404611,10225.464767,17158.645800,-1,0
46.948968,48.810705,58.803716,14820.756281,10362.902029,12762.890342,-1,0
64.678781,78.667415,28.426262,13235.535101,12307.225263,16531.533908,-1,0
67.727802,21.997386,84.693119,9311.956498,8272.922702,19232.087130,-1,0
66.039897,32.767192,34.740150,10739.466806,7364.236220,8706.101273,-1,0
73.485004,19.025204,36.904481,14445.213510,7946.375152,10377.704355,-1,0
1.767977,49.801398,92.593689,7591.017039,11142.311857,15962.664261,-1,0
6.521646,25.231418,98.507197,8887.055081,10715.165417,18374.497847,-1,0
3.514738,48.054631,48.443356,3392.266920,15462.873081,16447.431162,-1,0
49.584723,14.227658,85.770809,10507.166563,7322.385963,19140.279357,-1,0
20.481098,45.136178,31.400392,7383.551133,8556.433418,13054.687103,-1,0
20.766696,33.494618,23.796133,9659.621423,9703.648720,10004.921330,0,0
18.400096,61.737093,86.912127,12277.792442,17191.280001,18433.137475,-1,0
35.972556,15.432202,27.542533,11007.231701,9928.016586,12170.300827,-1,0
24.028905,76.417511,72.027208,8712.458020,12955.806599,14858.892323,-1,0
40.446508,44.525483,59.434315,8767.506581,10462.413894,17730.266561,0,0
69.464166,60.495516,52.911926,12706.028725,10588.069564,14126.012142,-1,0
25.575022,37.454416,73.576450,8428.998237,10335.635305,19187.189373,0,0
71.248930,65.886497,107.145798,13405.984064,11684.137248,20172.334475,-1,0
7.739308,36.685384,45.394039,4147.409987,12162.863998,14286.989965,-1,0
52.777135,31.098507,59.034015,10011.243239,9879.055525,12662.355812,-1,0
